longitude,latitude,year,Cow_incidents,Crop_circle_found,Alien_sighted,Abduction_event
-5.589384600026233,42.48220686692536,1915,Yes,No,No,No
-8.021037490382781,43.01869917340454,1599,Yes,No,No,No
-7.5363009278251045,42.23381611100798,1923,Yes,No,No,No
-4.288818279589694,42.10620533032481,1576,Yes,No,No,No
-6.496170376257829,42.21254655263939,1786,Yes,No,No,No
-4.22012621117695,43.224859819138366,1726,Yes,No,No,No
-4.941254427048912,42.146480933918376,1651,Yes,No,No,No
-4.2376564121245845,42.311477749940934,1771,Yes,No,No,No
-5.027054607635144,42.87156801070964,1879,Yes,No,No,No
-6.057649239396222,42.50285403495304,1932,Yes,No,No,No
-6.241832091847358,42.45053117177057,1984,Yes,No,No,No
-4.637154587075573,42.187320610323326,1664,Yes,No,No,No
-5.479166619588406,42.42531205155463,1809,Yes,No,No,No
-5.901780366770484,42.12444401978223,1946,No,No,No,No
-7.009904677931782,42.45146055717676,1595,Yes,No,Yes,No
-5.380504002188364,43.20562013481378,1890,Yes,No,No,No
-8.443281327942334,42.535647250789054,1822,Yes,No,No,No
-4.476112312143837,42.9299539789938,1879,Yes,No,No,No
-4.290266731795188,42.23303618639708,1717,Yes,No,No,No
-4.99998619519448,42.671506942284175,1741,Yes,No,Yes,No
-5.443367544103215,42.74381531950245,1731,Yes,No,No,No
-7.641879139426507,43.04744865948561,1894,Yes,No,No,Yes
-2.9243898522503167,42.393849505136124,1885,Yes,No,No,No
-4.135433578295108,42.51516963310098,1900,Yes,No,No,No
-6.172574370766836,42.52773640642412,1864,No,No,No,No
-3.585268995904622,42.37948796454039,1953,Yes,No,No,No
-5.531276793087189,42.47645027701647,1943,Yes,No,No,No
-4.38694361076675,42.9042590081112,1554,Yes,No,No,No
-5.897572081142187,42.660769008075135,1556,Yes,No,No,No
-4.694365812895992,41.91225515724494,1932,Yes,No,No,No
-5.593003055986909,42.45815392806788,2012,No,No,No,No
-5.055960769641051,42.60309133745378,1924,Yes,No,No,No
-7.885452527134571,42.51462728074904,1683,No,No,No,No
-5.958377992346334,42.044809412256996,1644,Yes,No,No,No
-4.2585328779755685,42.7325158177369,2012,Yes,No,No,Yes
-5.923835388335354,42.76640806788816,1742,Yes,No,No,No
-5.539545782781053,42.52102567082696,2023,Yes,No,No,No
-6.553851520349356,43.0010588021266,1772,Yes,No,No,No
-8.761029489663285,42.471080141366905,1712,Yes,No,No,No
-4.016952427071115,41.85696141684967,1544,Yes,No,No,No
-5.267950003809107,42.47558131396063,1897,Yes,No,No,No
-3.833693824781168,42.89471958339375,1633,Yes,No,No,No
-5.571189925035361,42.062176755072755,1600,Yes,No,No,No
-3.0664371205253325,42.885129253005395,1574,No,No,No,No
-5.653374229247414,42.61096068460638,2022,No,No,No,No
-4.459959592685686,42.679072017797544,1795,Yes,No,No,No
-4.711206306674864,42.94483640996486,1546,Yes,No,No,No
-7.457845901955879,42.829137433597566,1829,Yes,No,No,No
-4.461931379619134,42.43133579904134,1627,Yes,No,No,No
-3.3403758389564153,41.75888759848015,1757,Yes,No,No,Yes
-3.3573605548065837,42.622088598501826,1648,Yes,No,Yes,No
-6.602492443610213,42.63695589103761,1787,Yes,No,No,No
-5.4300431658865564,43.317542020622845,2009,Yes,No,No,No
-2.4044475718574234,42.63935837386008,1981,Yes,No,No,No
-6.017178537334555,42.31550810609466,1969,Yes,No,No,No
-5.4596895929018565,42.322838293646875,1901,Yes,No,No,No
-6.2759686260631025,42.31311815755041,1554,Yes,No,No,No
-5.3905767835903085,42.33654696099486,1716,Yes,No,No,No
-5.987955381737582,42.20625858183675,1626,Yes,No,No,No
-1.3931356568240738,42.03414171489247,1748,Yes,No,No,No
-6.444498564711966,42.636735526556066,1714,Yes,No,Yes,No
-5.457611323615857,42.63402514055117,1628,Yes,No,No,No
-3.8697888122442183,42.899273498095546,1572,Yes,Yes,No,No
-3.9365611118124764,42.18574518435371,1579,Yes,No,No,Yes
-3.4314345288833596,41.941884009583845,1622,Yes,Yes,No,No
-5.161816150084317,42.342463487568885,1978,Yes,No,No,No
-6.500196384130806,42.68710138207667,1848,Yes,No,No,No
-5.259163932033109,42.82250638273014,2006,Yes,No,No,No
-7.096522784486732,42.767627318910705,1757,Yes,No,No,No
-4.295806288929571,42.540004132748976,1636,Yes,No,No,No
-0.07496804373268773,41.225543246200026,1999,Yes,Yes,No,No
-1.4315323364455563,42.13247586937902,1932,Yes,Yes,No,No
-1.1997438854906473,41.64209103787723,1846,No,Yes,No,No
-1.0200388795949105,41.84411416128781,1905,No,Yes,No,No
-0.49135482874871994,42.02281525016012,1636,Yes,Yes,No,No
-1.4063930283047883,41.62333217648207,1852,No,Yes,No,No
-1.056989687568474,41.8949142862336,1712,No,Yes,Yes,No
-1.0526951124537727,42.09658953571029,1783,No,Yes,No,No
-0.8835833394096919,41.987447357407426,1739,Yes,Yes,No,No
-1.1556519931469007,41.63451321959853,1566,Yes,Yes,No,No
-0.12367413363668922,41.94717211917217,1564,Yes,Yes,No,No
-1.0456161225789935,41.99015862247426,1969,Yes,Yes,No,No
-0.9604905777259112,41.94511735901124,1613,No,Yes,No,No
-0.8926661010067063,41.256284894526665,1855,Yes,Yes,No,No
-1.10940604344592,42.23634362936589,1974,No,Yes,No,No
-0.830779791053331,41.30997548947964,1837,Yes,Yes,No,No
-0.6743134825043492,42.334258527169155,1775,No,Yes,No,No
-0.20243276520023457,42.05289393675108,1555,Yes,Yes,No,No
-0.7531192721258009,42.26156308022459,1843,Yes,Yes,No,No
-0.9523277294048471,41.627702942130625,2017,Yes,Yes,No,No
-0.7061227431004371,41.664197758686164,1605,Yes,Yes,No,No
-0.464662299840626,41.394076331737594,1969,No,Yes,No,Yes
-1.1386008036468922,41.75052048329294,1791,No,Yes,No,No
-1.7187741916445796,41.98239565648133,1610,No,Yes,No,Yes
-1.2278403534931106,41.410942408768484,1773,Yes,Yes,No,No
-1.1694489558122871,41.98425182286053,1806,Yes,Yes,No,No
-1.1547961161940594,42.193623060417764,1634,Yes,Yes,No,No
-1.2453257296223414,41.880517602150945,2014,Yes,Yes,No,No
-1.0881719375317054,42.10028753818745,1745,No,Yes,No,No
-1.1707784469024378,41.879760866792616,1823,No,Yes,No,No
